duck|漂浮的小鸭|One duckling floating in side view with round head, broad bill, plump body and one wing arc.|伸展翅膀的鸭子|One adult duck standing in a mild three-quarter view, one wing stretched sideways, clear webbed feet, long bill and broad separated feather groups.
penguin|挥手的小企鹅|One round penguin chick front view, oval belly outline, one flipper lifted and two simple feet.|迈步的企鹅|One emperor penguin taking a clear sideways step, natural upright silhouette, lifted flipper and defined neck bib with unfilled areas, no ice landscape.
owl|圆眼小猫头鹰|One little owl perched on a short plain branch, rounded head, two large eyes, simple folded wings.|滑翔的猫头鹰|One barn owl gliding toward the viewer at a gentle angle, heart-shaped face, broad outstretched wings with a few large feather divisions and fanned tail.
whale|喷水的小鲸鱼|One round baby whale side view, tiny flipper, small smiling eye and a single broad water-spout shape.|跃起的座头鲸|One humpback whale arcing upward in three-quarter view, long pectoral flipper, distinctive throat folds limited to four broad lines and clear tail flukes.
dolphin|弯弯的小海豚|One dolphin side silhouette in a gentle C-shaped leap, rounded snout, one dorsal fin and broad forked tail.|转身的海豚|One bottlenose dolphin swimming in a three-quarter turning pose, clearly joined pectoral fins, rounded forehead and elegant tapered body, no sea.
octopus|圆头小章鱼|One tiny octopus front view, big round head and eight short visibly separated arms, no suckers.|舒展腕足的章鱼|One expressive octopus in a gentle diagonal pose with all eight arms curling in different broad arcs, only a few large sucker circles on two arms, no tangles.
crab|挥钳小螃蟹|One small crab front view, broad rounded shell, two big raised claws and four clearly separated walking legs per side, no shell texture.|侧走的海蟹|One shore crab in three-quarter view with one large open claw and one lower smaller claw, broad shell plates, eight jointed walking legs spaced clearly.
cactus|双臂仙人掌|One saguaro cactus with two short raised arms in a plain pot, only three long rib lines and no spines.|开花的仙人球|One barrel cactus with six broad ribs and a single large flower on top in a low terracotta pot, a few sparse short spine pairs only.
leaf|圆圆的树叶|One broad oval leaf on a short stem, one central vein and two pairs of side veins.|卷边的长叶|One gently curling lance-shaped leaf in a diagonal composition, folded tip, expressive outer contour and six widely spaced veins.
palm|弯弯的椰子树|One gently curved palm trunk with four broad fronds, two coconuts and no bark texture.|舒展的海岛棕榈|One tall palm tree with a leaning segmented trunk, six graceful divided fronds, two large coconuts and roots indicated by two curves, no landscape.
rose|含苞的小玫瑰|One simple rosebud on a curved stem with two leaves, bud defined by three broad petal curves and no thorns.|盛开的玫瑰|One open garden rose tilted slightly to the side, six to eight broad overlapping petals arranged coherently, a graceful stem and three serrated leaves.
tulip|杯形郁金香|One upright tulip, a cup of three broad petals, straight stem and two curved leaves.|弯身开放的郁金香|One open tulip bowing gently on a curved stem, six broad petals visible in three-quarter view, two long folded leaves and a clear flower center.
bamboo|两节小竹子|One short bamboo stalk with two nodes and three simple leaves branching from one joint.|交错的竹枝|Two bamboo stems of different heights crossing gently, clearly spaced nodes and three graceful leaf fans, no forest background.
sun|圆圆的太阳|One friendly simple sun: clean circle and eight short rounded rays, two tiny eyes optional, no shading.|长短光芒的太阳|One beautifully drawn sun disc with alternating long tapered and short curved rays, twelve broad rays total, a sparse expressive face, no sky.
moon|弯弯的月牙|One smooth crescent moon with a small relaxed face, no stars or cloud.|圆月的山谷纹理|One full moon with five large softly outlined crater shapes of different sizes and a few curved surface marks, no texture dots, no other celestial objects.
cloud|三朵弧线的小云|One small cloud formed by three large rounded humps and a softly curved base, no face or rain.|层叠的积云|One elegant cumulus cloud with five large connected billowing masses and three interior curves showing depth, broad clear outline, no sky scenery.
grass|三片小草|A simple tuft of three long curved grass blades from one joined base, broad open shapes.|舒展的草丛|A single lively clump of seven long arching grass blades at varying heights, two overlapping folded blades and a few roots implied at the base, no flowers.
car|圆顶小汽车|A compact rounded car in full side view, two wheels, one broad window and a single door line.|复古小敞篷车|A distinctive vintage convertible in three-quarter front view, rounded headlights, curved wheel arches, two seats and a folded soft top, no road.
bus|短短的小巴士|One short minibus side view, two large windows, one door and two round wheels.|双层观光巴士|A double-decker sightseeing bus in three-quarter view, two clear window rows with only three broad windows each, front windscreen and large wheels.
truck|运货小卡车|One simple side-view cargo truck with rounded cab, rectangular open bed, two wheels and one window.|翻斗工程车|One dump truck in three-quarter view with a raised empty tipping bed, clear hinge, large rear wheel pair and rounded cabin, no machinery clutter.
train|小蒸汽火车|One small steam locomotive side view, round boiler, broad chimney, cab and three simple wheels, one steam puff.|流线型列车|One streamlined passenger train nose in three-quarter view with one short carriage, broad windows, joined undercarriage and clean rail wheels, no track scene.
airplane|胖胖的小飞机|One simple toy airplane viewed from above, oval body, two broad wings, short tail and a round nose.|复古双翼飞机|One classic biplane in three-quarter view, two clearly separated wing planes joined by few broad supports, a front propeller and two landing wheels.
helicopter|圆舱直升机|One simple helicopter side view with oval cabin, one broad window, long tail, two skids and a single rotor bar.|救援直升机|One rescue helicopter in three-quarter view, rounded cockpit, sliding side door, joined tail boom, simple four-blade rotor and clear landing skids, no symbols.
submarine|圆窗潜水艇|One small rounded submarine side view with one big porthole, a short periscope and simple tail fin.|探险潜水器|One deep-sea exploration submersible in three-quarter view with a big spherical front window, two side lamps, small grabber arm and compact rear propeller.
bicycle|圆轮小单车|One simplified child's bicycle in strict side view, two equal wheels, clear triangle frame, curved handlebars and saddle, no spokes beyond two per wheel.|带篮子的城市自行车|One step-through city bicycle in mild three-quarter view, front basket, rear rack, clearly connected frame and pedals, four spokes per visible wheel.
apple|带叶小苹果|One plump whole apple with a curved stem and one broad leaf, one simple bottom dimple.|切开的苹果|One whole apple in three-quarter view next to one neat half showing a star-like core and two seeds, clean broad contours.
pear|圆肚小梨子|One pear with a narrow rounded neck, broad bottom, small stem and one leaf.|侧放的梨子|One ripe pear lying diagonally with a gracefully curved neck, a folded leaf and one clean cut wedge beside it showing two seeds.
banana|弯弯的香蕉|One single unpeeled curved banana with a short stem and one lengthwise contour line.|剥开的香蕉|One partially peeled banana standing at a gentle angle, three broad peel flaps clearly separated from the fruit, no texture.
strawberry|大叶帽草莓|One plump strawberry with a five-leaf cap and five large seed marks only.|枝头的草莓|One ripe strawberry hanging from a curved short stem with one small blossom and one serrated leaf, eight sparse seed marks.
watermelon|三角西瓜片|One triangular watermelon slice with one broad rind band and three large seeds.|圆西瓜与切片|One round striped watermelon with five broad unfilled stripe areas and a single crescent slice leaning beside it, clearly visible red-flesh area left white.
cherry|双果小樱桃|Two round cherries on joined curved stems with one leaf, front view.|带叶的樱桃枝|Three cherries hanging at different heights from one natural twig with two folded leaves, clean overlapping contours and small stem dimples.
grapes|五颗小葡萄|A tiny bunch of five broad round grapes with one stem and a simple leaf.|垂挂的葡萄串|One elegant hanging bunch of twelve large grapes with a curling tendril and one broad lobed grape leaf, no small background berries.
pineapple|圆肚小菠萝|One small pineapple with an oval body, a crown of four broad leaves and three large diamond divisions.|侧看的菠萝|One pineapple in mild three-quarter view with an asymmetrical crown of six arching leaves and a broad open diamond pattern, one cut round slice beside it.
carrot|三叶胡萝卜|One short rounded carrot with three broad top leaves and two small root marks.|斜放的长胡萝卜|One natural tapered carrot lying diagonally with a gracefully branching leaf crown, a few broad skin curves and one tiny side root.
icecream|单球甜筒|One round scoop of ice cream on a simple triangular cone, only two cone lines.|花瓣冰淇淋杯|A small pedestal dessert cup with three broad ice-cream scoops, one wafer and a single cherry, clear layers and no sprinkles.
cake|小圆生日蛋糕|One small round cake with one broad frosting edge and one big candle, no writing.|水果夹层蛋糕|A single tall triangular slice of layered cake in three-quarter view, two broad filling layers, one strawberry and a loose cream curl on top.
cupcake|云顶纸杯蛋糕|One cupcake front view with a three-lobed frosting dome and a cup marked by three broad pleats.|旋涡奶油纸杯蛋糕|One cupcake in mild three-quarter view with a tall two-turn cream swirl, a single cherry, scalloped wrapper and five widely spaced pleats.
ball|条纹小皮球|One round beach ball with three broad curved panel divisions.|足球|One football in three-quarter view with a small number of clearly joined pentagon and hexagon panels, no black filled areas.
drum|圆圆的小鼓|One short toy drum front three-quarter view, two oval rims and one broad zigzag band.|落地非洲鼓|One goblet-shaped hand drum in three-quarter view, broad taut drumhead, narrow waist, flared base and four simple tension straps.
guitar|小圆肚吉他|One small acoustic guitar upright front view, figure-eight body, round sound hole, short neck and three strings.|斜放的古典吉他|One elegant classical guitar resting diagonally, natural shaped body, visible side thickness, six strings grouped clearly, six tuning pegs and only three fret marks.
book|合上的图画书|One closed thick picture book in mild three-quarter view, rounded cover and a single bookmark ribbon, no lettering.|展开的图画书|One open book viewed from above at a gentle angle, broad curved pages, central spine, three page-edge arcs and one simple leaf illustration with no letters.
pencil|胖胖的小铅笔|One thick short pencil diagonally, pointed wooden tip, broad barrel and a simple eraser cap.|削尖的绘图铅笔|One long hexagonal drawing pencil in strong three-quarter perspective with visible graphite tip, two barrel planes and an eraser ferrule with two bands, no branding.
crayon|圆头小蜡笔|One stubby crayon with rounded tip and a plain paper wrapper band.|打开的蜡笔盒|One small open box holding four visibly different-height crayons with pointed tips and simple wrapper bands, no words.
paintpalette|三色调色盘|One broad oval artist palette with a thumb hole and three large unfilled paint dabs.|木质调色盘与画笔|One kidney-shaped wooden palette in three-quarter view with five broad paint blobs, thumb hole and a single paintbrush resting diagonally across its edge.
wateringcan|圆肚浇水壶|One round watering can side view with a big arch handle and a short straight spout.|长嘴园艺水壶|One elegant metal watering can in three-quarter view, oval top opening, two clear handles and a long spout ending in a broad sprinkler rose, no drops.
teapot|圆肚小茶壶|One round teapot in side view, large C handle, short curved spout, domed lid and round knob.|方肩陶瓷茶壶|One distinctive square-shouldered ceramic teapot in three-quarter view with a long curved spout, arching handle, inset lid and one simple leaf motif.
cup|大耳朵小杯子|One rounded mug side view with a big C handle and oval rim, no decoration.|高脚茶杯|One delicate teacup on a saucer in three-quarter view, flared rim, curved handle, pedestal base and one broad decorative band.
clock|圆脸小闹钟|One round alarm clock front view with two broad bells, two feet, two hands and four hour marks.|摆钟|One compact mantel pendulum clock with a shaped wooden case, clear clock dial with four marks, a visible pendulum window and broad base.
gift|蝴蝶结礼物盒|One square gift box front view with a broad ribbon cross and a two-loop bow.|圆筒礼物盒|One tall round gift box in three-quarter view, slightly lifted lid, long flowing ribbon and a small blank tag, no patterns.
ufo|圆盘小飞碟|One toy flying saucer front view, broad oval disc, simple dome and three round lights.|斜飞的探索飞碟|One elegant retro flying saucer in three-quarter view, glass dome, ring-shaped body, three extended landing legs and four broad panel divisions.
dinosaur|圆背小恐龙|One friendly baby long-neck dinosaur standing side view, simple long neck, plump body, four short legs and curved tail.|举爪的三角龙|One young triceratops in three-quarter view with recognizable broad frill, three rounded horns, four clear sturdy legs and a gently curved tail.
bear|抱肚子的小熊|One friendly round bear cub seated front view, small round ears, oval muzzle, simple arms and two large paws.|侧身走路的小熊|One natural brown bear cub walking in a side three-quarter view, broad shoulder shape, short muzzle and four separated paws, sparse contour fur only.
dog|坐着的尖耳小狗|One sweet upright-eared puppy seated front view with short muzzle, broad paws and tail curving beside it, no collar detail.|叼树枝的小狗|One floppy-eared young dog walking in three-quarter view carrying one small branch, natural separated legs, happy relaxed posture and a sweeping tail.
panda|抱竹叶的小熊猫|One round giant panda cub sitting front view holding one bamboo leaf, all eye patches and limb patches outlined but unfilled.|趴在树枝上的熊猫|One giant panda resting belly-down across a single broad branch, relaxed dangling paws, head turned toward viewer, anatomically coherent body and unfilled patches.
capybara|坐着的小水豚|One small capybara sitting side view, rounded boxy muzzle, tiny ears, short legs and one nose mark, no prop.|迈步的水豚|One natural capybara walking in three-quarter view, characteristic long blunt head, low sturdy body, distinct toes and sparse whisker marks.
hamster|抱种子的小仓鼠|One round hamster seated front view holding one large seed, small circular ears, chubby cheeks and little feet.|探身的小仓鼠|One Syrian hamster standing on hind feet, nose lifted, front paws gently raised, cheek pouches and short fur indicated with three soft contour tufts.
otter|抱贝壳的小水獭|One baby otter seated front view holding one large shell, round head, small ears and broad tapered tail.|仰泳的水獭|One river otter floating on its back diagonally, paws on its belly, long tail curving outward, two hind feet visible and a small shell resting on the chest.
hedgehog|圆背小刺猬|One hedgehog side view, round back with six broad soft triangular quills, tiny legs and pointed nose.|闻叶子的刺猬|One hedgehog in three-quarter view leaning its nose toward one large fallen leaf, quills grouped into broad scalloped clusters, visible little paws.
seal|趴着的小海豹|One plump seal pup front three-quarter view, round head, two broad front flippers and a small forked rear tail.|抬头的海豹|One elegant seal lying on its belly in side view, head lifted, long curved body, clearly connected foreflipper and rear flippers, sparse whiskers.
redpanda|卷尾的小熊猫|One round red panda seated front view, broad triangular ears, simple face patches and a big tail wrapped to the side with three broad rings.|树枝上探身的小熊猫|One red panda stretched along a single branch looking downward, long fluffy ringed tail hanging behind, natural paws and clear face-mask shapes left unfilled.
chick|圆圆的小鸡|One fluffy chick standing front view, round body, tiny wing arcs, triangular beak and two simple feet.|破壳的小鸡|One chick stepping out of a broad half eggshell, one foot visible outside, two small wings lifted, a few soft crown tufts and three large shell cracks.
frog|蹲着的小青蛙|One little frog front view with two big round eyes, round belly and four broad separated feet.|跃起的树蛙|One tree frog leaping diagonally, long bent hind legs, large rounded toe pads, short front arms and wide alert eyes, no leaves or background.
jellyfish|伞形小水母|One jellyfish with a smooth semicircle bell, scalloped rim and four short broad wavy tentacles.|飘动的月亮水母|One elegant moon jellyfish in a tilted side view, translucent bell defined only by contour, four internal petal shapes and six flowing separated tentacles.
snail|圆壳小蜗牛|One snail in side view, large round shell with one spiral, broad foot and two long eye stalks.|爬叶子的蜗牛|One garden snail crossing one broad leaf, shell angled in three-quarter view with two graceful spiral curves, visible mantle and clearly separated eye stalks.
pudding|圆顶小布丁|One plain dome pudding on a small saucer, one scalloped caramel contour and no decoration.|水果奶油布丁|One tall fluted pudding in three-quarter view on a broad plate, a cream curl and two large berry shapes on top, five broad flutes only.
daisy|六瓣小雏菊|One upright daisy with six broad petals, large circular center and two small leaves.|侧开的雏菊|One graceful daisy turned in three-quarter view, twelve broad separated petals, a curved stem, one bud and two narrow leaves.
poppy|杯形虞美人|One poppy with four broad cup-like petals, round center and gently bent stem with one leaf.|舒展的虞美人|One open poppy flower viewed slightly from the side, four large crinkled petals expressed through broad edge curves, a clear seed center and one nodding bud.
orchid|一朵小兰花|One simple orchid flower front view, three broad outer petals, two smaller side petals and a clear rounded lip, short stem.|弯枝兰花|One arching orchid spray with two fully open flowers and one large bud, recognizable lips and broad petals, two long leaves at the base.
hydrangea|圆团绣球花|One small hydrangea flower head made of five large four-petal blossoms grouped together, a short stem and two broad leaves.|斜侧绣球花|One hydrangea bloom in three-quarter view with nine distinct large four-petal flowers forming a rounded head, two textured-edge leaves with only main veins.
lavender|短枝薰衣草|One lavender stalk with three broad paired bud clusters and two narrow leaves.|三枝薰衣草|Three graceful lavender stems at different heights with spaced broad bud clusters, long narrow leaves and a loose tied ribbon, no many tiny dots.
peony|圆瓣小牡丹|One simple peony bloom with six broad overlapping rounded petals, short stem and two leaves.|侧开的牡丹|One elegant half-open peony in three-quarter view, ten large layered petals with clear negative spaces, a strong curved stem and three lobed leaves.
daffodil|喇叭小水仙|One daffodil front view, six broad petals around a simple trumpet center and one long leaf.|低头的水仙|One daffodil nodding to the side, long trumpet and six clearly separated swept-back petals, two arching ribbon leaves and a natural stem.
hibiscus|五瓣扶桑花|One hibiscus front view, five large petals, a single long central stamen ending in a few circles, one leaf.|侧开的扶桑花|One hibiscus bloom in a slight side view with gracefully overlapping petals, extended staminal column, curved branch and two broad serrated leaves.
fern|羽形小蕨叶|One upright fern frond with a central stem and five broad leaflet pairs, no tiny subdivisions.|卷芽与蕨叶|One arching fern frond with eight broad paired leaflets and one clearly curled young fiddlehead beside it, uncluttered open leaf structure.
monstera|一片龟背竹|One large heart-shaped monstera leaf with three broad edge splits and one central vein, no interior holes.|舒展的龟背竹|One monstera plant with two large leaves at distinct angles in a low pot, characteristic broad splits and only two interior openings per leaf.
ginkgoleaf|扇形银杏叶|One fan-shaped ginkgo leaf with a shallow central notch, slender stem and three broad radial veins.|双叶银杏枝|Two gracefully overlapping ginkgo leaves on a short twig, each with a distinct fan shape and five widely spaced radial veins.
mapleleaf|五角枫叶|One simplified five-lobed maple leaf with smooth broad lobes and central branching veins.|卷边的枫叶|One natural maple leaf turned diagonally with five pointed lobes, a subtly curled edge, clear stem and sparse branching veins.
oakbranch|橡叶与橡果|One short twig carrying a single broad lobed oak leaf and one large acorn.|三叶橡树枝|One curved oak branch with three differently angled lobed leaves and two acorns in clear cups, sparse leaf veins and no bark texture.
beachscene|弯弯的海岸|A small uncluttered beach vignette: one curved shoreline, one broad wave line, a simple sun and one large shell. No horizon grid or shading.|海边的小沙丘|A spacious beach vignette with curved shore, two rolling wave lines, a low dune, one leaning palm and one large shell; five clear structural shapes, no dense scenery.
riverscene|弯弯的小河|A tiny landscape vignette with a broad S-shaped river between two smooth banks and one rounded hill.|河湾与岸边树|A gentle winding river scene with two coherent banks, one broad tree, two large stones and distant low hills, all contours spacious and no texture.
lakescene|圆圆的小湖|A quiet lake vignette with a broad oval water shape, one low hill and two short water curves.|山脚下的湖泊|One calm lake landscape with a gently irregular shoreline, two connected mountain silhouettes, one small reed cluster and a few long reflection lines.
volcano|圆顶小火山|One broad volcano silhouette with an open crater, one gentle lava curve and one rounded smoke puff.|有层次的火山|One volcano in three-quarter landscape view, broad crater rim, two large lava channels, simple rock slope divisions and three connected billowing smoke masses.
desert|两座小沙丘|A minimal desert vignette with two overlapping curved dunes and one simple sun.|起伏的沙丘|A spacious desert vignette with three layered sweeping dunes, one small rock cluster and a curved ridge line showing dune structure, no texture.
oasis|小水潭绿洲|A small oasis with one oval pool and one simple palm tree, two broad shore curves.|棕榈环绕的绿洲|One compact desert oasis scene with a gently curved pool, two palms of different heights, low surrounding dunes and two large rocks.
snowmountain|三角小雪山|One large mountain with a simple pointed peak and a single zigzag snow-cap line.|双峰雪山|Two natural snow mountains at different depths, clear ridges and broad snow shapes, a low foreground slope and no hatching.
forestpath|两棵树间的小路|A simple forest path vignette with two round-canopy trees and one broad curving path between them.|林间弯曲的小径|A gently winding forest path framed by one broadleaf tree and two tall conifers, clear joined trunks and large canopy masses, no individual leaves.
island|椰子树小岛|One small oval island with one curved palm and two broad wave arcs.|岩岸小海岛|One small rocky island in three-quarter view, two palms, a sloped shore, three large rounded rocks and two gentle sea curves.
cavescene|圆拱小山洞|One rounded rock mound with a big arch-shaped cave opening, two broad rock seams and no black fill.|藤叶山洞|One natural cave entrance among three large connected boulders, an uneven arch, a small hanging vine with four leaves and a short path into the opening.
backpack|圆角小书包|One small rounded backpack front view, one large flap, one front pocket and two strap hints.|侧看的旅行背包|One sturdy travel backpack in three-quarter view, rolled top, side bottle pocket, two broad padded straps and a clear carry handle.
sneaker|圆头小鞋|One simple sneaker side view with rounded toe, one broad strap and a thick sole.|系带高帮鞋|One high-top canvas sneaker in three-quarter view with four broad lace crossings, toe cap, ankle collar and a clearly layered sole.
rainboot|弯头小雨靴|One plain rain boot side view, broad opening, simple cuff and rounded toe.|一双折边雨靴|A pair of rain boots at different angles, one upright and one tilted, broad folded cuffs, simple pull tabs and clear soles, no pattern.
strawhat|圆顶小草帽|One sun hat front three-quarter view with a round crown, broad brim and plain ribbon band, no weave.|翘边草帽|One elegant wide-brim straw hat viewed at an angle, one side brim lifted, a flowing ribbon bow and two sparse curved weave hints only.
mittens|圆头小手套|One mitten with a clear thumb lobe and one cuff band.|交叠的连指手套|A pair of knitted mittens overlapping gently, clear separate thumbs, broad ribbed cuffs with only three lines and a single snowflake motif.
lantern|圆窗小提灯|One simple camping lantern front view, large loop handle, broad glass chamber and stable base.|复古风灯|One classic hurricane lantern in three-quarter view, curved protective frame, large glass chimney, top vent cap and arch handle, no flames beyond one simple shape.
desk|抽屉小书桌|One simple front-facing desk with a broad top, one central drawer and four straight legs.|带侧柜的书桌|One writing desk in three-quarter view, three-drawer side pedestal, broad clear worktop, one open leg bay and a small handle on each drawer.
lamp|圆罩小台灯|One small table lamp front view with broad semicircle shade, short stem and oval base.|弯臂工作台灯|One adjustable desk lamp in three-quarter view with two clearly hinged arms, conical shade and broad round base, no wires or clutter.
bed|枕头小床|One simple side-view bed with a rounded headboard, flat mattress, one pillow and two legs.|有被角的小床|One cozy single bed in three-quarter view with gently curved headboard, one plump pillow, a broad folded blanket corner and a visible footboard.
wardrobe|双门小衣柜|One rounded-top wardrobe front view with two large doors and two round knobs.|敞开一扇门的衣柜|One wooden wardrobe in three-quarter view with one door slightly open showing a simple hanging coat silhouette and one lower drawer, no woodgrain.
bookshelf|两层小书架|One low two-shelf bookcase front view with three large books on each shelf.|阶梯形书架|One distinctive stepped bookcase in mild three-quarter view with three staggered open compartments, six large books and one simple bookend.
window|四格小窗户|One square window front view with a broad frame and one vertical and horizontal division.|拱形开窗|One arched window with two shutters opened outward, broad sill and a simple folded curtain inside, few clear frame divisions.
door|圆顶小门|One arched door front view with a single knob and broad frame.|半开的木门|One paneled wooden door partially open in three-quarter view, visible frame depth, two broad panels, simple handle and threshold.
violin|圆弧小提琴|One simplified violin front view with clear waist, short neck, two f-holes and four strings, no bow.|斜放的小提琴与弓|One elegant violin in three-quarter view resting diagonally, visible scroll, bridge, four strings and one separate bow beside it, minimal fine details.
trumpet|弯管小号|One simplified trumpet side view, large flared bell, one broad curved tube loop and three large valve buttons.|侧看的铜管小号|One trumpet in three-quarter view with clearly connected curved tubing, deep flared bell, three spaced valves and a distinct mouthpiece.
camera|大镜头小相机|One rounded compact camera front view with one big lens and a single shutter button.|复古双镜头相机|One twin-lens reflex camera in three-quarter view, two stacked circular lenses, folding top finder and a simple side winding knob, no branding.
telescope|直筒小望远镜|One short telescope on a simple three-leg stand, clear eyepiece and broad objective opening.|斜指天空的天文镜|One refracting telescope angled upward on a sturdy equatorial-style mount and three broad tripod legs, simple focus knob and a small finder scope.
microscope|弯臂小显微镜|One simplified microscope side view with eyepiece tube, curved arm, flat stage and horseshoe base.|双目显微镜|One binocular microscope in three-quarter view, two eyepieces, clear arm and stage, two objective lenses and a broad base, no tiny controls.
sewingmachine|圆肩小缝纫机|One simple sewing machine side view with arched body, handwheel, needle area and broad base plate.|复古手摇缝纫机|One vintage hand-crank sewing machine in three-quarter view with a large clear flywheel, curved body, visible needle arm and a folded cloth on the base.
teacupset|一壶一杯|A simple tea set: one round teapot and one small cup beside it, big handles and no decoration.|托盘上的茶具|One oval tray with a graceful teapot, two small cups and a simple sugar bowl arranged with clear spaces, broad ceramic contours and no patterns.
vase|圆肚小花瓶|One round vase front view with narrow short neck and broad rim, no flowers or decoration.|细颈陶瓷花瓶|One elegant asymmetrical ceramic vase in three-quarter view with a long neck, flared lip and a single broad curved decorative band, no flowers.
bottle|圆肩小玻璃瓶|One simple rounded glass bottle with a short neck, wide stopper and broad base, unfilled.|方形软木玻璃瓶|One square-shouldered glass bottle in three-quarter view with a cork stopper, visible side plane and two long clean glass reflection contours.
breadbasket|圆篮小面包|One shallow basket holding one round loaf, broad rim and only two basket strips.|长篮里的法棍|One elongated oval bread basket in three-quarter view containing two baguettes and one round roll, broad folded cloth lining and sparse weave lines.
scooter|两轮小滑板车|One simple kick scooter side view, straight stem, broad handlebars, long deck and two round wheels.|侧看的滑板车|One classic kick scooter in three-quarter view with curved front fork, wide non-slip deck, rear brake and clearly connected handlebars, four spokes per wheel at most.
hotairballoon|圆顶热气球|One round hot-air balloon front view with three broad canopy panels and a small basket below.|梨形探险热气球|One pear-shaped hot-air balloon in three-quarter view with six broad curved panels, four clearly attached suspension ropes and a woven basket indicated by three broad strips.
sleepycloud|闭眼小云朵|One soft three-hump cloud with two closed curved eyes and a tiny relaxed mouth.|抱月亮的睡云|One gently curled sleeping cloud hugging a small crescent moon, two soft arm-like cloud lobes, closed eyes and a broad flowing lower contour.
